work_year,job_title,salary_in_usd,company_size
2024,ML Engineer,130900,M
2024,Data Analyst,99200,M
2024,Data Analyst,69400,M
2024,Encounter Data Management Professional,79500,M
2024,Encounter Data Management Professional,57700,M
2024,Data Engineer,179000,M
2024,Data Engineer,112000,M
2024,Machine Learning Engineer,206000,M
2024,Machine Learning Engineer,97335,M
2024,Machine Learning Engineer,223900,M
2024,Machine Learning Engineer,140100,M
2024,Data Architect,93750,M
2024,Data Architect,81250,M
2024,Data Manager,144300,M
2024,Data Manager,104800,M
2024,Business Intelligence,168000,L
2024,Business Intelligence,78400,L
2024,Data Analyst,207300,M
2024,Data Analyst,114700,M
2024,Data Scientist,265000,M
2024,Data Scientist,220000,M
2024,Business Intelligence Analyst,120000,M
2024,Business Intelligence Analyst,100000,M
2024,Machine Learning Engineer,306000,M
2024,Machine Learning Engineer,151600,M
2024,Data Science,300000,M
2024,Data Science,220000,M
2024,Data Scientist,167500,M
2024,Data Scientist,138500,M
2024,Data Scientist,194000,M
2024,Data Scientist,125500,M
2024,Analytics Engineer,118750,M
2024,Analytics Engineer,75000,M
2024,Data Engineer,194500,M
2024,Data Engineer,147368,M
2024,Data Engineer,165000,M
2024,Data Engineer,117000,M
2024,Data Analyst,170000,M
2024,Data Analyst,148000,M
2024,Data Manager,160500,M
2024,Data Manager,107000,M
2024,Analytics Engineer,500000,M
2024,Analytics Engineer,80000,M
2024,Data Infrastructure Engineer,241000,M
2024,Data Infrastructure Engineer,189000,M
2024,Data Scientist,167500,M
2024,Data Scientist,138500,M
2024,Research Scientist,200000,M
2024,Research Scientist,148500,M
2024,Research Engineer,273000,M
2024,Research Engineer,166500,M
2024,Data Analyst,106260,M
2024,Data Analyst,82000,M
2024,Business Intelligence Analyst,115000,M
2024,Business Intelligence Analyst,100000,M
2024,Data Scientist,105000,M
2024,Data Scientist,90000,M
2024,Data Scientist,170000,M
2024,Data Scientist,140000,M
2024,Data Scientist,170000,M
2024,Data Scientist,145000,M
2024,Data Engineer,233000,M
2024,Data Engineer,140000,M
2024,Data Analyst,202800,M
2024,Data Analyst,108200,M
2024,Head of Data,190000,M
2024,Head of Data,150000,M
2024,Data Scientist,214872,M
2024,Data Scientist,186846,M
2024,Data Scientist,43750,M
2024,Data Scientist,37500,M
2024,Data Engineer,145360,M
2024,Data Engineer,107440,M
2024,Applied Scientist,212800,L
2024,Applied Scientist,115100,L
2024,AI Software Engineer,174000,M
2024,AI Software Engineer,116000,M
2024,Data Engineer,181700,M
2024,Data Engineer,64300,M
2024,Data Analyst,33500,M
2024,Data Analyst,33500,M
2024,Data Engineer,185000,L
2024,Data Engineer,81000,L
2024,Encounter Data Management Professional,96200,M
2024,Encounter Data Management Professional,69800,M
2024,Data Analyst,77280,M
2024,Data Analyst,58000,M
2024,Data Scientist,33500,M
2024,Data Scientist,33500,M
2024,Research Scientist,178200,M
2024,Research Scientist,74800,M
2024,Business Intelligence Analyst,164500,M
2024,Business Intelligence Analyst,67200,M
2024,Data Architect,165000,M
2024,Data Architect,117000,M
2024,Data Engineer,185000,L
2024,Data Engineer,81000,L
2024,Data Science,287800,M
2024,Data Science,287800,M
2024,Data Scientist,150000,M
2024,Data Scientist,110000,M
2024,Research Engineer,250000,M
2024,Research Engineer,200000,M
2024,Machine Learning Engineer,200000,M
2024,Machine Learning Engineer,160000,M
2024,Data Scientist,172000,M
2024,Data Scientist,75600,M
2024,Data Scientist,291340,M
2024,Data Scientist,194240,M
2024,Applied Scientist,191070,M
